Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
345.28,345.37,345.37,0,23248,122.7771,3917.5254,3570.71,7785.92,201.3606,1250,1243,163.4,162.5,299,298.9,22.4,23.2,44.0235,44.0235,84.43
339.97,333.78,333.78,0,23226,123.5145,3929.7202,3571.78,7768.29,201.7036,1252,1247,0,164.2,0,298.8,22,23.2,43.8703,43.8703,84.72
344.1,341.1,341.1,0,23659,122.4084,3957.8212,3649.81,7852.06,202.3798,1256,1247,164.5,168.7,291.4,296.2,0,0,40.8044,40.8044,84.48
342.47,340.85,340.85,0,23587,124.129,3964.3604,3634.17,7805.27,201.9045,1256,1246,167.8,167.4,289.9,293.7,0,0,41.5648,41.5648,84.62
341.79,340.75,340.75,0,23460,126.4641,3963.3589,3653.4,7743.98,201.9388,1256,1247,167.9,167,290.3,294.4,23.3,23.4,43.0691,43.0691,83.7
320.83,313.27,313.27,0,23565,124.4977,3954.9934,3723.38,7693.58,201.2479,1246,1245,0,167,0,294.1,23.9,23.5,40.5744,40.5744,83.72
333.53,327.5,327.5,0,23551,123.8832,3969.3679,3803.8,7620.66,201.9829,1249,1244,167.9,168,287.1,292.9,23.6,23.4,41.3098,41.3098,83.28
339.01,337.05,337.05,0,23658,123.6374,3988.691,3776.79,7718.67,202.4631,1249,1247,167.6,167.8,289.5,293.3,22.6,23.2,41.799,41.799,83.61
341.63,340.07,340.07,0,23556,121.4252,3982.7409,3681.09,7756.44,202.4092,1249,1247,169.2,169.4,288.8,292.2,23.2,23,42.0133,42.0133,83.71
341.44,338.23,338.23,0,23575,123.7603,3980.6201,3778.05,7670.27,202.0172,1247,1248,170.2,171.3,287.4,289.9,0,0,44.2221,44.2221,84.3
336.15,332.11,332.11,0,23807,123.2687,3809.1947,3705.54,7796.28,202.8208,1251,1250,166.9,174.7,292.5,292.1,0,0,43.0525,43.0525,83.19
334.27,330.7,330.7,0,24097,122.6542,3812.4514,3815.23,7843.53,203.448,1253,1252,170.9,176,290.2,291.8,23.1,23.7,41.708,41.708,84.55
